pk_selfstrade,pk_corp,bill_code,trade_date,pk_operationcode,pk_operationname,pk_securitiescode,pk_securitiesname,pk_selfsgroup,pk_partner,pk_account,pk_cumando,pk_operatesite,pk_seat,pk_econtract,bargain_num,bargain_sum,commision,handle_fee,stamp_tax,transfer_fee,liquidate_fee,other_fee,fact_sum,operator,operate_date,if_voucher,if_audit,assessor,audit_date,state,ndef1,ndef2,ndef3,ndef4,ndef5,vdef1,vdef2,vdef3,vdef4,vdef5,ts,dr,begin_date,end_date,boursecode
,9001,SH2015020690011507,20150206,40000,股票买入,601555,东吴股票,,,100271236,,,,,1500.00,26415.00,6.60,0,0,1.00,0,0,-26422.60,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011510,20150206,40000,股票买入,601958,金钼股份,,,100271236,,,,,1200.00,11172.00,2.79,0,0,1.00,0,0,-11175.79,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011511,20150206,40000,股票买入,601766,中国南车,,,100271236,,,,,5400.00,61668.00,15.42,0,0,3.24,0,0,-61686.66,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011512,20150206,40000,股票买入,603000,人民网,,,100271236,,,,,300.00,14334.00,3.58,0,0,1.00,0,0,-14338.58,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011513,20150206,40000,股票买入,600516,方大炭素,,,100271236,,,,,1200.00,12924.00,3.23,0,0,1.00,0,0,-12928.23,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011515,20150206,40000,股票买入,600348,阳泉煤业,,,100271236,,,,,1500.00,12720.00,3.18,0,0,1.00,0,0,-12724.18,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011519,20150206,40000,股票买入,600028,中国石化,,,100271236,,,,,6300.00,36666.00,9.17,0,0,3.78,0,0,-36678.95,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011523,20150206,40000,股票买入,601168,西部矿业,,,100271236,,,,,2100.00,17493.00,4.37,0,0,1.26,0,0,-17498.63,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011524,20150206,40000,股票买入,600642,申能股份,,,100271236,,,,,2700.00,17658.00,4.41,0,0,1.62,0,0,-17664.03,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011525,20150206,40000,股票买入,600009,上海机场,,,100271236,,,,,1200.00,24402.00,6.10,0,0,1.00,0,0,-24409.10,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011527,20150206,40000,股票买入,600415,小商品城,,,100271236,,,,,1500.00,19650.00,4.91,0,0,1.00,0,0,-19655.91,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011534,20150206,40000,股票买入,601117,中国化学,,,100271236,,,,,2100.00,16128.00,4.03,0,0,1.26,0,0,-16133.29,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011535,20150206,40000,股票买入,600783,鲁信创投,,,100271236,,,,,300.00,8562.00,2.14,0,0,1.00,0,0,-8565.14,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011539,20150206,40000,股票买入,601998,中信银行,,,100271236,,,,,3300.00,22011.00,5.50,0,0,1.98,0,0,-22018.48,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011542,20150206,40000,股票买入,600547,山东黄金,,,100271236,,,,,900.00,22749.00,5.69,0,0,1.00,0,0,-22755.69,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011545,20150206,40000,股票买入,600011,华能国际,,,100271236,,,,,4800.00,36144.00,9.04,0,0,2.88,0,0,-36155.92,,,,,,,,,,,,,100271236,,,,,,,,,101
,9001,SH2015020690011549,20150206,40000,股票买入,601111,中国国航,,,100271236,,,,,1800.00,12780.00,3.20,0,0,1.08,0,0,-12784.28,,,,,,,,,,,,,100271236,,,,,,,,,101
