bill_code,pk_corp,trade_date,pk_operationcode,pk_operationname,pk_account,pk_partner,pk_selfsgroup,pk_operatesite,pk_cumando,pk_seat,pk_econtra,pk_securities,bargain_nu,bargain_su,commision,handle_fee,stamp_tax,other_fee,fact_sum,end_date,pk_repurchase,backbuy_rate,backbuy_sum,outtrade_date,pk_operator,operate_date,pk_assessor,audit_date,state,ndef1,ndef2,ndef3,ndef4,ndef5,vdef1,vdef2,vdef3,vdef4,vdef5,boursecode
SH2015020215253,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,2036.11,10002036.11,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020215285,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,2041.67,10002041.67,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020215445,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,2041.67,10002041.67,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020215237,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,2055.56,10002055.56,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020215985,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,1986.11,10001986.11,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020216327,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,1669.44,10001669.44,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020216836,9001,20150202,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000,50,0,0,0,-10000050,20150202,,1869.45,10001869.45,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020220462,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000,0,0,0,0,10002041.67,20150202,,2041.67,10002041.67,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020220485,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000,0,0,0,0,10002056.95,20150202,,2056.95,10002056.95,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020221049,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,50000,5000000,0,0,0,0,5001263.89,20150202,,1263.89,5001263.89,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020221526,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,50000,5000000,0,0,0,0,5001055.56,20150202,,1055.56,5001055.56,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020222792,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000,0,0,0,0,10002250,20150202,,2250,10002250,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020222840,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000,0,0,0,0,10002255.56,20150202,,2255.56,10002255.56,20150202,,,,,,,,,,,100271236,,,,,101
SH2015020222864,9001,20150202,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,20000,2000000,0,0,0,0,2000461.11,20150202,,461.11,2000461.11,20150202,,,,,,,,,,,100271236,,,,,101
