bill_code,pk_corp,trade_date,pk_operationcode,pk_operationname,pk_account,pk_partner,pk_selfsgroup,pk_operatesite,pk_cumando,pk_seat,pk_econtra,pk_securities,bargain_nu,bargain_su,commision,handle_fee,stamp_tax,other_fee,fact_sum,end_date,pk_repurchase,backbuy_rate,,outtrade_date,pk_operator,operate_date,pk_assessor,audit_date,state,ndef1,ndef2,ndef3,ndef4,ndef5,vdef1,vdef2,vdef3,vdef4,vdef5,boursecode
SH2015020921865,9001,20150209,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,50.00,0,0,0,-10000050.00,20150209,,347.22,10000347.22,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020921880,9001,20150209,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,50.00,0,0,0,-10000050.00,20150209,,347.22,10000347.22,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020921940,9001,20150209,40006,ÈÚÈ¯»Ø¹º,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,50.00,0,0,0,-10000050.00,20150209,,338.89,10000338.89,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020920061,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000475.00,20150209,,475,10000475.00,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020920356,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000472.20,20150209,,472.2,10000472.20,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020922059,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000494.44,20150209,,494.44,10000494.44,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020923411,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000430.56,20150209,,430.56,10000430.56,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020923430,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000430.56,20150209,,430.56,10000430.56,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020924364,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000420.83,20150209,,420.83,10000420.83,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020924517,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000430.56,20150209,,430.56,10000430.56,20150209,,,,,,,,,,,100271236,,,,,101
SH2015020924546,9001,20150209,40009,ÈÚÈ¯¹º»Ø,100271236,D890767292,,,D890767292,,,204001,100000,10000000.00,0,0,0,0,10000433.33,20150209,,433.33,10000433.33,20150209,,,,,,,,,,,100271236,,,,,101
